love,5.79101624654,-7.16576145264
know,6.9998101399,-5.8784589988
oh,6.17216720842,-6.79787305172
yeah,5.98927682321,-6.69839417655
need,5.75506744496,-7.17189636016
got,7.02182144498,-6.56210273845
see,7.8636664702,-5.22129378287
say,7.31780034953,-9.39198025712
want,6.77681721476,-6.90074555103
come,6.33186082745,-2.9537862065
girl,7.88016838433,0.15263987471
baby,15.4845366088,-3.80843693394
like,7.02844634722,-6.89494819944
time,13.3599747214,-2.5471830926
back,14.2590185757,-3.19419394945
get,14.2064913768,-3.19142532608
good,5.86697488472,-1.25031493452
yellow,10.718404612,-4.26018292646
let,6.8856293143,-3.25752339705
submarine,10.7285377084,-4.2803015846
one,7.15952530406,-1.22199199716
go,6.90686431306,-1.10250385211
well,10.0573726177,1.76914804551
long,10.2315964465,0.822510948057
much,12.9176491706,-3.74459784811
never,8.43127044933,-5.34749613376
tell,7.88930849703,-5.46011209309
man,14.7672518968,-4.12751807056
la,14.8095841162,-7.17939011914
day,6.12301520078,0.1563734336
home,7.34471633712,-1.80940252899
little,11.0607768871,-9.32061388151
make,7.36743908785,-6.08133730453
gonna,5.17606136818,-5.02531099329
ah,12.658424014,-1.26172456911
please,6.76588627214,-7.64615075517
take,8.59986704172,-1.23887981974
said,10.0504264306,1.84024480845
hey,12.6050252904,-7.12050414325
together,6.1106895466,-3.17639855203
way,9.05121888619,-0.54000480313
mine,7.34383173892,-5.90909194573
better,13.0897797987,-3.29258661872
life,14.9888225105,-7.10725549251
nothing,5.18619614784,-5.00426322219
night,6.47209274456,-0.310273958738
going,9.44121716312,-0.596101585415
sun,9.27115935068,-2.09872835591
cry,13.3866933797,-2.61772455693
away,7.34339381582,-1.28229267563
mind,8.53293738643,-1.69447540619
feel,7.51051222728,-6.15275944672
hold,6.34130014072,-6.85310925517
wanna,14.7012517115,-4.1775385256
think,7.58955128116,-6.23026696653
honey,9.91919322963,2.27913430219
lonely,11.5943283598,-2.70035703984
yes,14.0324567538,-1.22791821918
right,6.97978420486,-2.82281567423
ooh,10.991036342,-9.36129356708
da,14.7853618873,-7.18756385006
ha,14.3530626882,-6.69013537916
roll,11.5332592699,-3.67462663774
doo,10.2566381616,-3.78435910278
everybody,6.37879764726,-6.93046642951
mm,11.0581892252,-9.37426585601
look,7.2665036433,1.63508263473
cos,7.05410016759,-6.7537365681
eyes,7.45608676193,-1.06286039003
world,5.0789152537,-4.91572563528
leave,8.42721153359,-4.8975171336
would,8.18366748217,-5.90225272226
things,8.40839564879,-5.37648950531
morning,5.86960985558,-1.26042299928
really,6.81370235613,-6.792380308
dance,7.2342515653,-5.97074886391
mother,13.2500484537,-2.68855231199
live,10.6627719587,-4.13467626374
c,11.6297911521,-5.29869551786
mon,11.6291423183,-5.29731614325
heart,12.3827495172,1.36421175005
hello,7.22607188173,-9.79934381517
feeling,6.98425151576,-4.15693518472
help,11.0309561339,-9.35619680328
around,8.57622008478,-1.11570984512
could,7.79843583528,-6.18957478989
another,11.3811177524,0.4821207135
always,6.94177819257,-7.01507493319
gotta,12.5904915388,-3.42065325111
everything,8.59552465552,-0.742102387791
blue,7.67524038342,-0.776424397939
goes,14.9515107813,-7.12378155007
find,8.40179717498,-0.883931688006
till,6.94591307292,-3.34787819267
told,8.38220074101,-6.41142768235
wait,12.549950016,-3.5395861976
alright,5.99288486726,-6.13426681866
people,10.5785372531,0.607139137706
sky,9.38971614232,-3.29897950366
old,13.0006265986,-2.60140409837
though,8.86269451978,0.842311859605
give,8.53759910528,-5.83183902941
still,7.95247214346,-6.15203778231
two,7.31722771376,1.19406315696
true,6.8067569238,-6.97513036598
alone,12.551216421,1.2696499352
head,10.5438673902,-0.840636815261
bill,12.6223873018,-7.1029088542
sing,8.72364422176,-0.39140565334
every,7.50686506334,-4.42441675176
believe,8.31357795374,-6.15381239154
money,8.84667247792,-4.51563123337
waiting,10.5328484722,-0.132188515043
us,8.20000349426,-2.32953257513
hear,7.10534068395,-1.30465237412
yeh,9.95824469923,-0.864870675417
tonight,7.32309794341,-6.36007303298
play,8.30461291282,-0.611346827591
bye,12.9518692859,-4.05926985678
word,8.15159205667,-7.37919504194
goodbye,7.23557241753,-9.73683465808
bungalow,12.617259958,-7.10819477319
words,6.93671902372,-3.43119302678
gone,9.45049340166,-0.365241797395
boy,11.2908975748,0.0586836137672
lose,11.026794624,-1.50536301007
call,12.4042537369,-1.69972091702
nowhere,12.3400342272,-1.00721525304
road,11.0455148997,-9.36232603093
everyone,8.28500653498,-2.15571263867
today,8.82928735412,0.00378953731261
whoa,6.86141888218,-7.43758898267
may,9.035353467,0.156849614096
mr,7.60790915775,-6.2785438374
getting,13.0912670058,-3.07904529123
show,8.72940956115,-0.533029369217
comes,9.26896105309,-2.08364284864
care,8.90202023087,-4.43292257977
tight,7.71483728003,-5.76304958736
ho,6.42419736646,-2.53398847328
sweet,8.17141958361,-0.42715613221
bop,12.5807601557,-7.10939941045
sunshine,6.10940549617,0.27764792487
easy,6.96468775299,-3.10305465797
hide,9.74593429982,-6.54943234162
sad,8.85338422916,-0.593183362554
friends,11.0514455972,-9.35535360866
dead,11.5615286022,0.576158426198
darling,8.34335952268,-6.18785399073
dear,10.436348475,0.716779258979
coming,7.39978932315,-0.543716141341
sgt,11.5497563763,-2.68036449301
cause,12.8679827712,1.74716575324
trying,7.329507014,-5.4969508486
kind,9.38924424277,0.0298968195151
someone,8.60689008607,-6.30652860463
sea,15.6563690037,-2.44692013538
door,9.45735918598,-0.149202188449
nobody,12.4951965512,1.319201077
