love,-5.99348689736,0.747216682811,2.25205237549
know,-4.48804794535,1.17840615556,4.87314457218
oh,-6.59646251004,1.71193608217,3.92985868173
yeah,-7.0115333806,1.72731147768,3.4459728453
need,-5.98090560592,0.754858785383,2.21444959063
got,-9.09991624203,0.399111466243,5.13007041583
see,-7.06089846704,-2.17303010436,4.8217787944
say,-1.75002191984,1.39210434327,-1.26897298505
want,-8.99520884046,1.16332097349,5.89238404812
come,-6.14019565052,3.36966722715,4.90600651201
girl,-8.09116435537,5.15791524538,6.60623666658
baby,-6.79259489651,7.78869406017,4.3589758564
like,-10.0516630645,0.139904685214,5.92074488636
time,-6.40161407856,7.91007205666,2.83988579099
back,-4.03896420607,2.04822219308,-1.41085004752
get,-4.03911706796,2.04911226834,-1.40877079267
good,-2.35159496199,-0.410215347765,-4.74758321595
yellow,-1.09528220179,5.67495365848,3.36531568103
let,-6.94669856219,3.39314787171,5.65421944406
submarine,-1.09358394485,5.67520106796,3.34581659094
one,-4.3875079393,3.22839989881,4.29825326961
go,-8.79102619549,3.96749820759,4.88788584831
well,-11.1998692381,7.91969632014,5.39875514026
long,-12.9796801034,9.76696020073,6.24512062743
much,-5.02405648684,8.49653677454,2.55251326513
never,-9.78709283269,-0.324520355644,3.73820086932
tell,-7.79797970912,-1.80233051626,4.54463545368
man,-6.25437102531,6.91379377718,3.64295904991
la,0.0955065299068,8.31370286065,7.81185262423
day,-0.0880995779794,-8.28842056575,0.966612777841
home,-4.08747987412,4.84723126431,3.42708905688
little,-0.948434672985,4.75090549715,-1.03794640746
make,-8.50297841289,0.123369613368,4.71804330121
gonna,-3.95643998888,1.99231280186,1.32224194543
ah,-8.62346523141,10.1188687035,6.83764050867
please,-10.6261734901,1.24873304924,6.60044191167
take,-4.47292427357,5.49508886151,4.89631735667
said,-10.3142473222,8.07045196444,5.37343825871
hey,-2.32740364863,12.7559232956,-5.46823968025
together,-5.99053020546,3.67475268314,4.33007956069
way,-10.5798485861,4.18567245275,7.85426734009
mine,-5.89960127805,1.71417352142,7.58245438623
better,-5.36462672675,7.86417505076,2.71247361521
life,0.131643591473,9.25319799898,8.77783269815
nothing,-3.55756347612,2.00565634157,1.24635586823
night,-3.85527383083,3.0611599473,3.73011409938
going,-10.5543521433,5.0634674718,8.37442770394
sun,-3.48399021691,0.447433408167,-2.76830019935
cry,-6.8185146677,8.13615048168,2.41375122263
away,-4.75674022004,4.05938905332,4.70734415738
mind,-2.03310804505,2.66826219756,5.10549130219
feel,-8.55961334325,-0.611858697694,5.03364009682
hold,-9.03724285934,2.03632726382,6.30835321528
wanna,-6.22605684403,6.88341190842,3.56555233743
think,-8.8444090122,-0.998891949619,5.27448160195
honey,-10.0759871861,8.72535294017,6.48694373003
lonely,-2.67294305252,7.47511479896,7.20962625915
yes,-4.36540004741,7.92137578464,6.01973282913
right,-6.34207018852,4.12373124205,6.20807802727
ooh,-1.48403386696,4.3310310421,-1.37937999001
da,0.129445326694,8.16975917751,7.87503257796
ha,-0.337011559241,6.88494212383,3.70054810542
roll,-2.65402003378,7.20472999017,5.39436704036
doo,-1.07144149522,5.24073031286,4.39294749269
everybody,-7.61825146714,1.71845420703,4.31554909357
mm,-1.43341406764,4.34430630943,-2.00508074138
look,-6.45835471236,13.4877458442,2.52992871699
cos,-10.0726910045,-0.0398544691399,5.36143913828
eyes,-4.2445338603,3.92227630479,4.84927351642
world,-3.3159498291,2.00535180411,1.1550351078
leave,-9.94034998515,1.26367976598,3.45279802813
would,-9.45701494851,-2.1684966484,5.03782684748
things,-11.1422804281,3.02051878139,5.26492218692
morning,-2.35179235773,-0.409541223334,-4.74719177741
really,-9.1686068296,0.976464405908,5.50639688084
dance,-5.2403212339,1.62055905283,5.88163882744
mother,-6.9296644714,8.19931444929,2.76464536803
live,-1.1026253191,5.60545163884,3.41126352245
c,-5.31582029343,4.02173684086,0.564921304333
mon,-5.31577191543,4.02174317506,0.564917058697
heart,-3.25851337812,4.48935609307,8.69037799441
hello,-1.5702235832,1.6941126878,-1.23059671806
feeling,-7.10503146967,2.27858409264,5.91918174655
help,-1.05997647413,4.67076150728,-1.14160070436
around,-4.61899620341,5.45222703516,4.92643159975
could,-9.20026865448,-1.2152106228,5.03437207822
another,-11.9542672564,7.04824404567,10.3977961971
always,-9.31867872623,0.431022147568,6.42416286366
gotta,-3.01525698882,7.07553223892,3.43012349845
everything,-11.2761436661,3.6664585432,6.6944647533
blue,-5.27831277155,4.82409226417,6.43096493688
goes,0.324450450258,9.56298919835,8.77448130812
find,-11.2990221714,3.5469159566,5.84266794153
till,-6.36503628456,3.29318400644,6.01683098378
told,-8.60234209114,-2.54155382279,6.06092756709
wait,-2.93139405345,7.06063772011,3.46018819519
alright,-5.13498021323,1.27836168956,3.58631675883
people,-11.577975799,8.35139206855,6.78917914924
sky,-1.32030308627,4.01625151681,5.03838516218
old,-6.57890474164,7.94427837514,2.78073721475
though,-13.1331597317,5.44825688142,5.87358543594
give,-9.7633790957,-1.34941831376,3.92442397065
still,-9.14601014267,-1.7985106374,5.46933546881
two,-4.71742315149,12.3383464974,2.75390978791
true,-9.23408910863,0.662979281375,6.3219177929
alone,-4.17682840675,4.7322463836,8.65522709794
head,-9.41880488607,7.09498943046,6.79752945449
bill,-1.85119364352,13.1076833612,-5.27236056772
sing,-11.1294596689,4.63230188493,5.94805260658
every,-6.68864052429,-2.77935722084,5.17830193045
believe,-8.31542501016,-1.75593765699,5.54098954989
money,-11.7088316236,0.361384183972,3.71891420817
